date,id,bear,bishop,martin,otter,pocosin,possum,raccoon,rattlesnake,walker,wildcat,ref_drained,ref_nat,ref2_wht,ref2,ref3,ref4
6/19/2023 16:00,20231019,-2.167,-3.019,-3.412,-3.6,,-3.711,-2.983,,-4.301,-2.93,,-2.839,-2.667,,-3.795,-5.152
6/19/2023 16:30,20231019,-2.172,-3.023,-3.42,-3.605,,-3.713,-3.032,-3.235,-4.305,-2.932,,-2.837,-2.659,,-3.805,-5.154
6/19/2023 17:00,20231019,-2.173,-3.023,-3.419,-3.6,,-3.712,-3.035,-3.237,-4.3,-2.934,,-2.843,-2.67,,-3.81,-5.155
6/19/2023 17:30,20231019,-2.17,-3.003,-3.413,-3.594,,-3.703,-3.032,-3.228,-4.294,-2.918,,-2.849,-2.673,,-3.816,-5.157
6/19/2023 18:00,20231019,-2.178,-2.996,-3.412,-3.601,,-3.695,-3.03,-3.229,-4.291,-2.92,,-2.842,-2.683,,-3.818,-5.162
6/19/2023 18:30,20231019,-2.18,-3.003,-3.415,-3.622,,-3.702,-3.038,-3.237,-4.295,-2.923,,-2.846,-2.667,,-3.809,-5.152
6/19/2023 19:00,20231019,-2.175,-3.01,-3.439,-3.622,,-3.722,-3.062,-3.256,-4.311,-2.94,,-2.845,-2.682,,-3.809,-5.155
6/19/2023 19:30,20231019,-2.165,-3.014,-3.439,-3.615,,-3.725,-3.063,-3.257,-4.319,-2.95,,-2.829,-2.692,,-3.806,-5.148
6/19/2023 20:00,20231019,-2.167,-3.014,-3.432,-3.614,,-3.722,-3.064,-3.251,-4.316,-2.943,,-2.831,-2.692,,-3.819,-5.159
6/19/2023 20:30,20231019,-2.166,-3.015,-3.427,-3.598,,-3.717,-3.055,-3.25,-4.311,-2.938,,-2.848,-2.693,,-3.818,-5.154
6/19/2023 21:00,20231019,-2.177,-3.02,-3.426,-3.603,,-3.715,-3.054,-3.241,-4.306,-2.933,,-2.843,-2.7,,-3.813,-5.152
6/19/2023 21:30,20231019,-2.181,-3.017,-3.427,-3.612,,-3.717,-3.055,-3.246,-4.307,-2.934,,-2.852,-2.705,,-3.822,-5.161
6/19/2023 22:00,20231019,-2.171,-3.019,-3.432,-3.615,,-3.726,-3.06,-3.255,-4.312,-2.943,,-2.862,-2.714,,-3.827,-5.166
6/19/2023 22:30,20231019,-2.165,-3.012,-3.436,-3.609,,-3.726,-3.065,-3.259,-4.321,-2.944,,-2.858,-2.72,,-3.82,-5.156
6/19/2023 23:00,20231019,-2.16,-3.01,-3.436,-3.612,,-3.726,-3.065,-3.256,-4.314,-2.937,,-2.855,-2.721,,-3.82,-5.152
6/19/2023 23:30,20231019,-2.158,-3.009,-3.439,-3.619,,-3.729,-3.065,-3.26,-4.318,-2.945,,-2.864,-2.71,,-3.824,-5.163
